
ВРЕМЯ: 0

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 0              | 
| 2              | 1              | 0              | 0              | 0              | 
| 3              | 2              | 0              | 0              | 0              | 
| 4              | 0              | 1              | 0              | 0              | 
| 5              | 1              | 1              | 0              | 0              | 
| 6              | 2              | 1              | 0              | 0              | 
| 7              | 0              | 2              | 0              | 0              | 
| 8              | 1              | 2              | 0              | 0              | 
| 9              | 2              | 2              | 0              | 0              | 
| 10             | 0              | 0              | 1              | 0              | 
| 11             | 1              | 0              | 1              | 0              | 
| 12             | 2              | 0              | 1              | 0              | 
| 13             | 0              | 1              | 1              | 0              | 
| 14             | 1              | 1              | 1              | 0              | 
| 15             | 2              | 1              | 1              | 0              | 
| 16             | 0              | 2              | 1              | 0              | 
| 17             | 1              | 2              | 1              | 0              | 
| 18             | 2              | 2              | 1              | 0              | 
| 19             | 0              | 0              | 2              | 0              | 
| 20             | 1              | 0              | 2              | 0              | 
| 21             | 2              | 0              | 2              | 0              | 
| 22             | 0              | 1              | 2              | 0              | 
| 23             | 1              | 1              | 2              | 0              | 
| 24             | 2              | 1              | 2              | 0              | 
| 25             | 0              | 2              | 2              | 0              | 
| 26             | 1              | 2              | 2              | 0              | 
| 27             | 2              | 2              | 2              | 0              | 

ВРЕМЯ: 2.5

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 0              | 
| 2              | 1              | 0              | 0              | 0              | 
| 3              | 2              | 0              | 0              | 0              | 
| 4              | 0              | 1              | 0              | 0              | 
| 5              | 1              | 1              | 0              | 0              | 
| 6              | 2              | 1              | 0              | 0              | 
| 7              | 0              | 2              | 0              | 0              | 
| 8              | 1              | 2              | 0              | 0              | 
| 9              | 2              | 2              | 0              | 0              | 
| 10             | 0              | 0              | 1              | 0              | 
| 11             | 1              | 0              | 1              | 0              | 
| 12             | 2              | 0              | 1              | 0              | 
| 13             | 0              | 1              | 1              | 0              | 
| 14             | 1              | 1              | 1              | 0              | 
| 15             | 2              | 1              | 1              | 0              | 
| 16             | 0              | 2              | 1              | 0              | 
| 17             | 1              | 2              | 1              | 0              | 
| 18             | 2              | 2              | 1              | 0              | 
| 19             | 0              | 0              | 2              | 0              | 
| 20             | 1              | 0              | 2              | 0              | 
| 21             | 2              | 0              | 2              | 0              | 
| 22             | 0              | 1              | 2              | 0              | 
| 23             | 1              | 1              | 2              | 0              | 
| 24             | 2              | 1              | 2              | 0              | 
| 25             | 0              | 2              | 2              | 0              | 
| 26             | 1              | 2              | 2              | 0              | 
| 27             | 2              | 2              | 2              | 0              | 

ВРЕМЯ: 5

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 0              | 
| 2              | 1              | 0              | 0              | 0              | 
| 3              | 2              | 0              | 0              | 0              | 
| 4              | 0              | 1              | 0              | 0              | 
| 5              | 1              | 1              | 0              | 0              | 
| 6              | 2              | 1              | 0              | 0              | 
| 7              | 0              | 2              | 0              | 0              | 
| 8              | 1              | 2              | 0              | 0              | 
| 9              | 2              | 2              | 0              | 0              | 
| 10             | 0              | 0              | 1              | 0              | 
| 11             | 1              | 0              | 1              | 0              | 
| 12             | 2              | 0              | 1              | 0              | 
| 13             | 0              | 1              | 1              | 0              | 
| 14             | 1              | 1              | 1              | 0              | 
| 15             | 2              | 1              | 1              | 0              | 
| 16             | 0              | 2              | 1              | 0              | 
| 17             | 1              | 2              | 1              | 0              | 
| 18             | 2              | 2              | 1              | 0              | 
| 19             | 0              | 0              | 2              | 0              | 
| 20             | 1              | 0              | 2              | 0              | 
| 21             | 2              | 0              | 2              | 0              | 
| 22             | 0              | 1              | 2              | 0              | 
| 23             | 1              | 1              | 2              | 0              | 
| 24             | 2              | 1              | 2              | 0              | 
| 25             | 0              | 2              | 2              | 0              | 
| 26             | 1              | 2              | 2              | 0              | 
| 27             | 2              | 2              | 2              | 0              | 

ВРЕМЯ: 7.5

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 0              | 
| 2              | 1              | 0              | 0              | 0              | 
| 3              | 2              | 0              | 0              | 0              | 
| 4              | 0              | 1              | 0              | 0              | 
| 5              | 1              | 1              | 0              | 0              | 
| 6              | 2              | 1              | 0              | 0              | 
| 7              | 0              | 2              | 0              | 0              | 
| 8              | 1              | 2              | 0              | 0              | 
| 9              | 2              | 2              | 0              | 0              | 
| 10             | 0              | 0              | 1              | 0              | 
| 11             | 1              | 0              | 1              | 0              | 
| 12             | 2              | 0              | 1              | 0              | 
| 13             | 0              | 1              | 1              | 0              | 
| 14             | 1              | 1              | 1              | 0              | 
| 15             | 2              | 1              | 1              | 0              | 
| 16             | 0              | 2              | 1              | 0              | 
| 17             | 1              | 2              | 1              | 0              | 
| 18             | 2              | 2              | 1              | 0              | 
| 19             | 0              | 0              | 2              | 0              | 
| 20             | 1              | 0              | 2              | 0              | 
| 21             | 2              | 0              | 2              | 0              | 
| 22             | 0              | 1              | 2              | 0              | 
| 23             | 1              | 1              | 2              | 0              | 
| 24             | 2              | 1              | 2              | 0              | 
| 25             | 0              | 2              | 2              | 0              | 
| 26             | 1              | 2              | 2              | 0              | 
| 27             | 2              | 2              | 2              | 0              | 

ВРЕМЯ: 10

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 0              | 
| 2              | 1              | 0              | 0              | 0              | 
| 3              | 2              | 0              | 0              | 0              | 
| 4              | 0              | 1              | 0              | 0              | 
| 5              | 1              | 1              | 0              | 0              | 
| 6              | 2              | 1              | 0              | 0              | 
| 7              | 0              | 2              | 0              | 0              | 
| 8              | 1              | 2              | 0              | 0              | 
| 9              | 2              | 2              | 0              | 0              | 
| 10             | 0              | 0              | 1              | 0              | 
| 11             | 1              | 0              | 1              | 0              | 
| 12             | 2              | 0              | 1              | 0              | 
| 13             | 0              | 1              | 1              | 0              | 
| 14             | 1              | 1              | 1              | 0              | 
| 15             | 2              | 1              | 1              | 0              | 
| 16             | 0              | 2              | 1              | 0              | 
| 17             | 1              | 2              | 1              | 0              | 
| 18             | 2              | 2              | 1              | 0              | 
| 19             | 0              | 0              | 2              | 0              | 
| 20             | 1              | 0              | 2              | 0              | 
| 21             | 2              | 0              | 2              | 0              | 
| 22             | 0              | 1              | 2              | 0              | 
| 23             | 1              | 1              | 2              | 0              | 
| 24             | 2              | 1              | 2              | 0              | 
| 25             | 0              | 2              | 2              | 0              | 
| 26             | 1              | 2              | 2              | 0              | 
| 27             | 2              | 2              | 2              | 0              | 

ВРЕМЯ: 0

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 1              | 
| 2              | 1              | 0              | 0              | 1              | 
| 3              | 2              | 0              | 0              | 1              | 
| 4              | 0              | 1              | 0              | 1              | 
| 5              | 1              | 1              | 0              | 1              | 
| 6              | 2              | 1              | 0              | 1              | 
| 7              | 0              | 2              | 0              | 1              | 
| 8              | 1              | 2              | 0              | 1              | 
| 9              | 2              | 2              | 0              | 1              | 
| 10             | 0              | 0              | 1              | 1              | 
| 11             | 1              | 0              | 1              | 1              | 
| 12             | 2              | 0              | 1              | 1              | 
| 13             | 0              | 1              | 1              | 1              | 
| 14             | 1              | 1              | 1              | 1              | 
| 15             | 2              | 1              | 1              | 1              | 
| 16             | 0              | 2              | 1              | 1              | 
| 17             | 1              | 2              | 1              | 1              | 
| 18             | 2              | 2              | 1              | 1              | 
| 19             | 0              | 0              | 2              | 1              | 
| 20             | 1              | 0              | 2              | 1              | 
| 21             | 2              | 0              | 2              | 1              | 
| 22             | 0              | 1              | 2              | 1              | 
| 23             | 1              | 1              | 2              | 1              | 
| 24             | 2              | 1              | 2              | 1              | 
| 25             | 0              | 2              | 2              | 1              | 
| 26             | 1              | 2              | 2              | 1              | 
| 27             | 2              | 2              | 2              | 1              | 

ВРЕМЯ: 2.5

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 1              | 
| 2              | 1              | 0              | 0              | 1              | 
| 3              | 2              | 0              | 0              | 1              | 
| 4              | 0              | 1              | 0              | 1              | 
| 5              | 1              | 1              | 0              | 1              | 
| 6              | 2              | 1              | 0              | 1              | 
| 7              | 0              | 2              | 0              | 1              | 
| 8              | 1              | 2              | 0              | 1              | 
| 9              | 2              | 2              | 0              | 1              | 
| 10             | 0              | 0              | 1              | 1              | 
| 11             | 1              | 0              | 1              | 1              | 
| 12             | 2              | 0              | 1              | 1              | 
| 13             | 0              | 1              | 1              | 1              | 
| 14             | 1              | 1              | 1              | 1              | 
| 15             | 2              | 1              | 1              | 1              | 
| 16             | 0              | 2              | 1              | 1              | 
| 17             | 1              | 2              | 1              | 1              | 
| 18             | 2              | 2              | 1              | 1              | 
| 19             | 0              | 0              | 2              | 1              | 
| 20             | 1              | 0              | 2              | 1              | 
| 21             | 2              | 0              | 2              | 1              | 
| 22             | 0              | 1              | 2              | 1              | 
| 23             | 1              | 1              | 2              | 1              | 
| 24             | 2              | 1              | 2              | 1              | 
| 25             | 0              | 2              | 2              | 1              | 
| 26             | 1              | 2              | 2              | 1              | 
| 27             | 2              | 2              | 2              | 1              | 

ВРЕМЯ: 5

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 1              | 
| 2              | 1              | 0              | 0              | 1              | 
| 3              | 2              | 0              | 0              | 1              | 
